#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.1%	47	-28.18772003148302	256.03170851951785	0.0562	0:49
0.1%	48	-28.187645604249337	256.03051497791785	0.0559	0:49
0.2%	49	-28.187569610467968	256.0292963175299	0.0563	0:49
0.2%	50	-28.187492050216502	256.02805254068545	0.0559	0:49
0.2%	51	-28.187412923575373	256.0267836438851	0.0556	0:49
0.2%	52	-28.187332230627653	256.02548962290314	0.056	0:49
0.2%	53	-28.18724997145852	256.02417049234856	0.0557	0:49
0.2%	54	-28.187166146155352	256.0228262430481	0.0554	0:49
0.2%	55	-28.187080754808893	256.02145688045294	0.0558	0:49
0.2%	56	-28.186993797511644	256.0200624022571	0.0555	0:49
0.2%	57	-28.186905274358956	256.0186428166166	0.0552	0:50
0.2%	58	-28.18681518544835	256.01719812327053	0.0555	0:49
0.2%	59	-28.186723530879966	256.01572832264776	0.0553	0:49
0.2%	60	-28.186630310756573	256.0142334155127	0.055	0:50
0.2%	61	-28.18653552518335	256.01271340556843	0.0553	0:49
0.2%	62	-28.186439174267637	256.01116829230887	0.0551	0:50
0.2%	63	-28.186341258119892	256.00959807843486	0.0548	0:50
0.2%	64	-28.186241776852604	256.00800276642923	0.0552	0:50
0.2%	65	-28.186140730580494	256.00638235644954	0.0549	0:50
0.2%	66	-28.18603811942135	256.00473685271083	0.0552	0:49
0.2%	67	-28.18593394349498	256.0030662552827	0.055	0:50
0.2%	68	-28.185828202924323	256.0013705663587	0.0553	0:49
0.2%	69	-28.18572089783391	255.99964978580937	0.0551	0:50
0.2%	70	-28.185612028351247	255.99790392111322	0.0549	0:50
0.2%	71	-28.185501594606166	255.99613297075075	0.0551	0:50
0.2%	72	-28.185389596731714	255.99433693845737	0.0549	0:50
0.2%	73	-28.185276034861843	255.99251582173983	0.0552	0:49
0.2%	74	-28.185160909134503	255.99066962941902	0.055	0:50
0.2%	75	-28.18504421968929	255.9887983617984	0.0548	0:50
0.2%	76	-28.184925966668644	255.98690201960733	0.0551	0:50
0.2%	77	-28.184806150217163	255.9849806066496	0.0549	0:50
0.2%	78	-28.184684770482225	255.98303412455454	0.0551	0:50
0.2%	79	-28.184561827613436	255.98106257190156	0.0549	0:50
0.2%	80	-28.184437321763454	255.97906595731467	0.0548	0:50
0.3%	81	-28.184311253086502	255.97704428097828	0.055	0:50
0.3%	82	-28.18418362173977	255.97499754840197	0.0548	0:50
0.3%	83	-28.184054427883137	255.9729257536832	0.0546	0:50
0.3%	84	-28.183923671678603	255.97082890707563	0.0549	0:50
0.3%	85	-28.183791353290765	255.96870700818013	0.0547	0:50
0.3%	86	-28.183657472886736	255.96656006014473	0.0545	0:50
0.3%	87	-28.183522030636027	255.96438806582879	0.0548	0:50
0.3%	88	-28.18338502671067	255.96219102440122	0.0546	0:50
0.3%	89	-28.183246461285016	255.95996894216643	0.0544	0:50
0.3%	90	-28.183106334536102	255.9577218253254	0.0547	0:50
0.3%	91	-28.18296464664368	255.95544967743626	0.0545	0:50
0.3%	92	-28.182821397788995	255.95315249718874	0.0547	0:50
0.3%	93	-28.182676588157168	255.95083028693378	0.0546	0:50
0.3%	94	-28.18253021793468	255.94848304740714	0.0544	0:50
0.3%	95	-28.182382287310883	255.9461107880826	0.0546	0:50
0.3%	96	-28.182232796477592	255.9437135046937	0.0545	0:50
0.3%	97	-28.18208174562913	255.94129120763225	0.0547	0:50
0.3%	98	-28.18192913496225	255.93884389722683	0.0545	0:50
0.3%	99	-28.181774964676055	255.9363715756857	0.0547	0:50
0.3%	100	-28.181619234972313	255.9338742461061	0.0546	0:50
0.3%	101	-28.181461946055435	255.93135190855688	0.0544	0:50
0.3%	102	-28.181303098131682	255.92880457100253	0.0546	0:50
0.3%	103	-28.181142691410198	255.926232238311	0.0545	0:50
0.3%	104	-28.180980726102813	255.92363491149624	0.0547	0:50
0.3%	105	-28.180817202423125	255.92101259713223	0.0546	0:50
0.3%	106	-28.180652120588174	255.9183652912173	0.0548	0:50
0.3%	107	-28.180485480816774	255.91569300286722	0.0546	0:50
0.3%	108	-28.18031728333018	255.91299573571536	0.0548	0:50
0.3%	109	-28.180147528352535	255.9102734947652	0.0547	0:50
0.3%	110	-28.179976216109953	255.9075262739795	0.0545	0:50
0.3%	111	-28.179803346831648	255.90475408795737	0.0547	0:50
0.3%	112	-28.179628920748787	255.90195693895478	0.0546	0:50
0.4%	113	-28.179452938095036	255.89913482511696	0.0548	0:50
0.4%	114	-28.179275399106874	255.89628775217543	0.0546	0:50
0.4%	115	-28.179096304022774	255.89341572778784	0.0545	0:50
0.4%	116	-28.17891565308405	255.8905187526403	0.0547	0:50
0.4%	117	-28.178733446534498	255.8875968343243	0.0546	0:50
0.4%	118	-28.178549684619945	255.88464996925597	0.0544	0:50
0.4%	119	-28.178364367589108	255.88167816516983	0.0546	0:50
0.4%	120	-28.178177495693237	255.8786814288712	0.0545	0:50
0.4%	121	-28.177989069185596	255.875659765405	0.0544	0:50
0.4%	122	-28.177799088322114	255.87261317222237	0.0545	0:50
0.4%	123	-28.177607553361522	255.86954165881292	0.0544	0:50
0.4%	124	-28.177414464564418	255.86644522712498	0.0543	0:50
0.4%	125	-28.177219822194303	255.86332388099964	0.0545	0:50
0.4%	126	-28.177023626517045	255.86017762768876	0.0544	0:50
0.4%	127	-28.17682587780077	255.85700646755234	0.0542	0:50
0.4%	128	-28.176626576316387	255.85381040954104	0.0544	0:50
0.4%	129	-28.17642572233703	255.85058945121236	0.0543	0:50
0.4%	130	-28.176223316138593	255.84734359921902	0.0542	0:50
0.4%	131	-28.176019357998833	255.84407286584408	0.0543	0:50
0.4%	132	-28.17581384819855	255.84077724460886	0.0542	0:50
0.4%	133	-28.175606787020648	255.83745674631047	0.0541	0:50
0.4%	134	-28.17539817475076	255.83411137399503	0.0543	0:50
0.4%	135	-28.175188011676855	255.83074113144306	0.0542	0:50
0.4%	136	-28.174976298089444	255.82734602185624	0.0541	0:50
0.4%	137	-28.174763034281124	255.82392605921527	0.0542	0:50
0.4%	138	-28.17454822054746	255.8204812367772	0.0541	0:50
0.4%	139	-28.174331857186168	255.81701156215857	0.054	0:50
0.4%	140	-28.174113944497513	255.8135170468262	0.0539	0:51
0.4%	141	-28.17389448278435	255.8099976894999	0.0541	0:50
0.4%	142	-28.173673472351393	255.80645349462927	0.054	0:50
0.4%	143	-28.17345091350666	255.80288447060627	0.0539	0:51
0.5%	144	-28.17322680655998	255.7992906195925	0.0538	0:51
0.5%	145	-28.17300115182424	255.79567195184305	0.0539	0:51
0.5%	146	-28.17277394961417	255.7920284674177	0.0538	0:51
0.5%	147	-28.17254520024685	255.78836017124746	0.0537	0:51
0.5%	148	-28.172314904042643	255.78466706757996	0.0539	0:51
0.5%	149	-28.172083061323793	255.78094916467109	0.0538	0:51
0.5%	150	-28.171849672414908	255.77720646466167	0.0537	0:51
0.5%	151	-28.171614737643136	255.7734389749274	0.0536	0:51
0.5%	152	-28.17137825733864	255.7696467027425	0.0535	0:51
0.5%	153	-28.171140231832904	255.76582965010198	0.0535	0:51
0.5%	154	-28.170900661461115	255.7619878236115	0.0536	0:51
0.5%	155	-28.170659546559985	255.75812123029706	0.0535	0:51
0.5%	156	-28.1704168874687	255.7542298740578	0.0534	0:51
0.5%	157	-28.170172684529827	255.75031375887252	0.0533	0:51
0.5%	158	-28.16992693808708	255.74637288882195	0.0533	0:51
0.5%	159	-28.169679648487786	255.74240728024571	0.0534	0:51
0.5%	160	-28.16943081608088	255.73841692554112	0.0533	0:51
0.5%	161	-28.169180441218224	255.7344018372492	0.0532	0:51
0.5%	162	-28.16892852425394	255.73036201513577	0.0532	0:51
0.5%	163	-28.168675065544523	255.72629747438236	0.0531	0:51
0.5%	164	-28.16842006544905	255.7222082124006	0.0532	0:51
0.5%	165	-28.168163524329014	255.7180942387582	0.0531	0:51
0.5%	166	-28.16790544254824	255.71395555552206	0.0531	0:51
0.5%	167	-28.167645820473073	255.70979217314738	0.053	0:51
0.5%	168	-28.16738465847262	255.70560409992981	0.0531	0:51
0.5%	169	-28.167121956917768	255.70139133472415	0.053	0:51
0.5%	170	-28.166857716182335	255.69715388712345	0.053	0:51
0.5%	171	-28.166591936642224	255.6928917625496	0.0529	0:51
0.5%	172	-28.166324618676533	255.68860496734746	0.0528	0:52
0.5%	173	-28.166055762665536	255.68429350830456	0.0528	0:52
0.5%	174	-28.16578536899328	255.67995739126164	0.0529	0:52
0.5%	175	-28.165513438045217	255.67559662445706	0.0528	0:52
0.6%	176	-28.165239970209665	255.67121120983722	0.0527	0:52
0.6%	177	-28.164964965877687	255.66680115512048	0.0529	0:52
0.6%	178	-28.164688425442318	255.66236646725403	0.0528	0:52
0.6%	179	-28.164410349299008	255.65790715159486	0.0527	0:52
0.6%	180	-28.164130737845746	255.65342321530454	0.0527	0:52
0.6%	181	-28.163849591483128	255.64891466112	0.0528	0:52
0.6%	182	-28.16356691061421	255.64438150187547	0.0527	0:52
0.6%	183	-28.163282695644007	255.6398237452523	0.0527	0:52
0.6%	184	-28.16299694698054	255.63524138971104	0.0526	0:52
0.6%	185	-28.162709665033983	255.63063444860578	0.0525	0:52
0.6%	186	-28.162420850216684	255.62600292518306	0.0525	0:52
0.6%	187	-28.162130502943903	255.62134682970256	0.0524	0:52
0.6%	188	-28.161838623633	255.6166661622676	0.0523	0:52
0.6%	189	-28.161545212704112	255.61196093271005	0.0523	0:52
0.6%	190	-28.161250270579302	255.60723115032224	0.0524	0:52
0.6%	191	-28.160953797683515	255.6024768195317	0.0523	0:52
0.6%	192	-28.160655794443894	255.59769795007819	0.0523	0:52
0.6%	193	-28.160356261289888	255.5928945429752	0.0522	0:52
0.6%	194	-28.16005519865379	255.5880666071972	0.0522	0:52
0.6%	195	-28.159752606969743	255.58321415350653	0.0523	0:52
0.6%	196	-28.15944848667498	255.5783371850582	0.0522	0:52
0.6%	197	-28.159142838208556	255.5734357124933	0.0522	0:52
0.6%	198	-28.15883566201206	255.56850973988765	0.0523	0:52
0.6%	199	-28.15852695852987	255.56355927353053	0.0522	0:52
0.6%	200	-28.158216728208295	255.55858431985368	0.0522	0:52
0.6%	201	-28.15790497149677	255.55358489410074	0.0521	0:52
0.6%	202	-28.157591688846402	255.54856099444396	0.052	0:52
0.6%	203	-28.15727688071091	255.5435126356385	0.0522	0:52
0.6%	204	-28.15696054754644	255.5384398158515	0.0521	0:52
0.6%	205	-28.156642689811903	255.53334254884786	0.052	0:52
0.6%	206	-28.156323307968265	255.52822084175887	0.052	0:52
0.6%	207	-28.156002402479064	255.52307470195973	0.0519	0:52
0.7%	208	-28.155679973809917	255.5179041342454	0.052	0:52
0.7%	209	-28.155356022429302	255.51270914956652	0.052	0:52
0.7%	210	-28.155030548808085	255.50748975069354	0.0519	0:52
0.7%	211	-28.154703553418965	255.50224594975646	0.0519	0:52
0.7%	212	-28.15437503673801	255.49697775278702	0.052	0:52
0.7%	213	-28.15404499924253	255.49168516606574	0.0519	0:52
0.7%	214	-28.15371344141336	255.48636820291998	0.0519	0:52
0.7%	215	-28.15338036373323	255.48102686398866	0.0518	0:52
0.7%	216	-28.153045766686958	255.47566115748845	0.0519	0:52
0.7%	217	-28.15270965076242	255.4702710982628	0.0519	0:52
0.7%	218	-28.15237201644944	255.464856690141	0.0518	0:52
0.7%	219	-28.152032864240375	255.45941794081938	0.0519	0:52
0.7%	220	-28.151692194630133	255.45395485844026	0.0519	0:52
0.7%	221	-28.151350008116015	255.44846744696665	0.0518	0:52
0.7%	222	-28.15100630519707	255.44295571879633	0.0519	0:52
0.7%	223	-28.150661086375756	255.43741968003718	0.0519	0:52
0.7%	224	-28.15031435215644	255.43185934413242	0.0518	0:52
0.7%	225	-28.149966103045738	255.42627471443186	0.0518	0:53
0.7%	226	-28.14961633955298	255.42066579940646	0.0519	0:52
0.7%	227	-28.149265062189478	255.41503260741243	0.0518	0:52
0.7%	228	-28.148912271469456	255.409375142836	0.0518	0:52
0.7%	229	-28.14855796790955	255.4036934205266	0.0517	0:53
0.7%	230	-28.14820215202766	255.3979874498389	0.0517	0:53
0.7%	231	-28.14784482434582	255.39225723199564	0.0517	0:53
0.7%	232	-28.147485985387416	255.38650278023405	0.0516	0:53
0.7%	233	-28.147125635677934	255.38072409790595	0.0516	0:53
0.7%	234	-28.14676377574623	255.37492119853366	0.0515	0:53
0.7%	235	-28.146400406122844	255.36909408899317	0.0516	0:53
0.7%	236	-28.146035527340914	255.363242777009	0.0516	0:53
0.7%	237	-28.145669139935777	255.35736727531034	0.0515	0:53
0.7%	238	-28.145301244445672	255.35146759110228	0.0515	0:53
0.7%	239	-28.144931841410745	255.34554372637587	0.0516	0:53
0.8%	240	-28.1445609313735	255.33959569692777	0.0515	0:53
0.8%	241	-28.144188514879147	255.3336235145819	0.0515	0:53
0.8%	242	-28.14381459247527	255.3276271782612	0.0515	0:53
0.8%	243	-28.14343916471152	255.32160670247816	0.0515	0:53
0.8%	244	-28.143062232139965	255.31556209370737	0.0515	0:53
0.8%	245	-28.142683795315474	255.3094933601615	0.0515	0:53
0.8%	246	-28.14230385479485	255.30340051454863	0.0514	0:53
0.8%	247	-28.141922411137802	255.29728356609237	0.0515	0:53
0.8%	248	-28.141539464905637	255.2911425186097	0.0515	0:53
0.8%	249	-28.141155016662424	255.28497738568518	0.0514	0:53
0.8%	250	-28.1407690669751	255.27878817286637	0.0515	0:53
0.8%	251	-28.140381616412242	255.27257489569476	0.0515	0:53
0.8%	252	-28.13999266554494	255.26633756265775	0.0514	0:53
0.8%	253	-28.139602214947047	255.2600761738769	0.0514	0:53
0.8%	254	-28.13921026519449	255.25379074851656	0.0514	0:53
0.8%	255	-28.13881681686575	255.24748128852698	0.0513	0:53
0.8%	256	-28.138421870541503	255.24114780660884	0.0514	0:53
0.8%	257	-28.138025426804592	255.2347903116336	0.0514	0:53
0.8%	258	-28.1376274862405	255.22840881399077	0.0513	0:53
0.8%	259	-28.137228049437603	255.2220033208976	0.0513	0:53
0.8%	260	-28.13682711698577	255.21557384433856	0.0512	0:53
0.8%	261	-28.13642468947743	255.20912038806804	0.0513	0:53
0.8%	262	-28.13602076750767	255.2026429693614	0.0513	0:53
0.8%	263	-28.13561535167371	255.19614159439723	0.0513	0:53
0.8%	264	-28.135208442575536	255.1896162732239	0.0512	0:53
0.8%	265	-28.13480004081461	255.18306701741372	0.0512	0:53
0.8%	266	-28.13439014699591	255.17649383447704	0.0513	0:53
0.8%	267	-28.133978761725782	255.16989673376307	0.0512	0:53
0.8%	268	-28.133565885613457	255.16327572036428	0.0512	0:53
0.8%	269	-28.13315151927056	255.15663081091856	0.0512	0:53
0.8%	270	-28.132735663310882	255.14996201572538	0.0512	0:53
0.8%	271	-28.13231831835022	255.1432693418792	0.0512	0:53
0.8%	272	-28.131899485007633	255.1365527969111	0.0512	0:53
0.9%	273	-28.131479163903826	255.12981239696208	0.0511	0:53
0.9%	274	-28.131057355661806	255.12304814652114	0.0511	0:53
0.9%	275	-28.13063406090754	255.11626006140946	0.0511	0:53
0.9%	276	-28.130209280268595	255.10944814146168	0.051	0:53
0.9%	277	-28.129783014375864	255.1026124114857	0.051	0:53
0.9%	278	-28.12935526386135	255.09575286970775	0.051	0:53
0.9%	279	-28.128926029360485	255.08886953078252	0.0509	0:53
0.9%	280	-28.12849531151055	255.08196240490955	0.051	0:53
0.9%	281	-28.1280631109508	255.07503150010658	0.051	0:53
0.9%	282	-28.127629428323942	255.06807682913157	0.0509	0:53
0.9%	283	-28.127194264273857	255.06109839924738	0.0509	0:53
0.9%	284	-28.126757619447325	255.054096226267	0.0509	0:53
0.9%	285	-28.126319494493714	255.04707031837347	0.0508	0:53
0.9%	286	-28.12587989006424	255.04002068555587	0.0508	0:53
0.9%	287	-28.12543880681249	255.03294733805842	0.0509	0:53
0.9%	288	-28.124996245394886	255.0258502871275	0.0508	0:53
0.9%	289	-28.12455220646941	255.01872953946852	0.0508	0:53
0.9%	290	-28.12410669069725	255.0115851084105	0.0508	0:53
0.9%	291	-28.1236596987413	255.00441701112348	0.0508	0:53
0.9%	292	-28.12321123126697	254.99722524466534	0.0508	0:53
0.9%	293	-28.122761288941813	254.99000982952126	0.0508	0:53
0.9%	294	-28.12230987243648	254.98277077058412	0.0508	0:53
0.9%	295	-28.12185698242292	254.97550808413922	0.0508	0:53
0.9%	296	-28.121402619576028	254.96822178256528	0.0508	0:53
0.9%	297	-28.12094678457285	254.96091187072423	0.0508	0:53
0.9%	298	-28.12048947809269	254.95357836152417	0.0507	0:53
0.9%	299	-28.120030700817537	254.94622126425776	0.0508	0:53
0.9%	300	-28.11957045343119	254.9388405941863	0.0508	0:53
0.9%	301	-28.119108736619932	254.9314363621042	0.0508	0:53
0.9%	302	-28.118645551073023	254.924008574872	0.0507	0:53
0.9%	303	-28.11818089748072	254.91655724481748	0.0507	0:54
0.9%	304	-28.117714776537053	254.90908238549298	0.0507	0:54
1.0%	305	-28.11724718893729	254.9015840035196	0.0505	0:54
1.0%	306	-28.116778135379466	254.89406211425032	0.0505	0:54
1.0%	307	-28.116307616563713	254.886516726755	0.0505	0:54
1.0%	308	-28.11583563319307	254.87894785285624	0.0505	0:54
1.0%	309	-28.11536218597217	254.87135550554802	0.0504	0:54
1.0%	310	-28.11488727560824	254.86373969598307	0.0504	0:54
1.0%	311	-28.11441090281092	254.85610043191053	0.0504	0:54
1.0%	312	-28.113933068292035	254.8484377305321	0.0504	0:54
1.0%	313	-28.11345377276553	254.84075159712822	0.0503	0:54
1.0%	314	-28.112973016948196	254.83304204603263	0.0503	0:54
1.0%	315	-28.11249080155873	254.8253090905836	0.0503	0:54
1.0%	316	-28.112007127318208	254.81755274347907	0.0502	0:54
1.0%	317	-28.111521994949875	254.80977301239204	0.0502	0:54
1.0%	318	-28.11103540517963	254.80196990272336	0.0503	0:54
1.0%	319	-28.110547358735474	254.79414343632067	0.0503	0:54
1.0%	320	-28.110057856347577	254.78629362589356	0.0502	0:54
1.0%	321	-28.109566898748408	254.77842047829958	0.0502	0:54
1.0%	322	-28.109074486673123	254.77052400520483	0.0501	0:54
1.0%	323	-28.108580620858888	254.76260421456254	0.0501	0:54
1.0%	324	-28.10808530204505	254.75466112575634	0.05	0:54
1.0%	325	-28.10758853097342	254.74669474682798	0.05	0:54
1.0%	326	-28.10709030838814	254.73870509276708	0.05	0:54
1.0%	327	-28.106590635035555	254.73069217532097	0.0501	0:54
1.0%	328	-28.106089511664198	254.72265600393806	0.05	0:54
1.0%	329	-28.105586939025258	254.71459659264528	0.05	0:54
1.0%	330	-28.105082917871766	254.70651395094845	0.05	0:54
1.0%	331	-28.104577448959436	254.69840809735416	0.05	0:54
1.0%	332	-28.104070533045867	254.69027903737123	0.0499	0:54
1.0%	333	-28.103562170891145	254.68212677859998	0.0499	0:54
1.0%	334	-28.103052363257788	254.6739513442998	0.0499	0:54
1.0%	335	-28.102541110910455	254.6657527389488	0.05	0:54
1.1%	336	-28.10202841461614	254.65753097861392	0.0499	0:54
1.1%	337	-28.10151427514387	254.64928607617398	0.0499	0:54
1.1%	338	-28.100998693265222	254.64101804694928	0.0499	0:54
1.1%	339	-28.10048166975391	254.63272689537942	0.0499	0:54
1.1%	340	-28.0999632053861	254.62441263732399	0.0499	0:54
1.1%	341	-28.09944330094003	254.6160752895447	0.0499	0:54
1.1%	342	-28.098921957196183	254.60771486114982	0.0499	0:54
1.1%	343	-28.09839917493781	254.59933136205032	0.0499	0:54
1.1%	344	-28.09787495494946	254.59092480827843	0.0498	0:54
1.1%	345	-28.097349298018834	254.58249520978316	0.0498	0:54
1.1%	346	-28.096822204935695	254.57404257845172	0.0499	0:54
1.1%	347	-28.096293676492035	254.5655669287439	0.0499	0:54
1.1%	348	-28.09576371348186	254.55706828007914	0.0498	0:54
1.1%	349	-28.09523231670165	254.5485466374061	0.0498	0:54
1.1%	350	-28.094699486950258	254.5400020170412	0.0498	0:54
1.1%	351	-28.09416522502836	254.53143442553926	0.0498	0:54
1.1%	352	-28.09362953173977	254.52284388120205	0.0497	0:54
1.1%	353	-28.093092407889387	254.51423039502268	0.0498	0:54
1.1%	354	-28.09255385428533	254.50559398136707	0.0498	0:54
1.1%	355	-28.09201387173741	254.49693465429897	0.0498	0:54
1.1%	356	-28.091472461058103	254.48825242584212	0.0497	0:54
1.1%	357	-28.090929623061808	254.47954730536958	0.0497	0:54
1.1%	358	-28.090385358564994	254.47081931269778	0.0497	0:55
1.1%	359	-28.089839668387437	254.46206845541823	0.0497	0:55
1.1%	360	-28.089292553349615	254.4532947484626	0.0497	0:54
1.1%	361	-28.088744014275502	254.44449820567345	0.0497	0:54
1.1%	362	-28.088194051990524	254.43567884020547	0.0497	0:55
1.1%	363	-28.087642667323145	254.42683666473175	0.0497	0:55
1.1%	364	-28.087089861103372	254.41797169209008	0.0497	0:55
1.1%	365	-28.08653563416348	254.40908393634547	0.0496	0:55
1.1%	366	-28.08597998733863	254.4001734060659	0.0496	0:55
1.1%	367	-28.08542292146534	254.3912401249493	0.0496	0:55
1.1%	368	-28.084864437383136	254.38228409736146	0.0496	0:55
1.2%	369	-28.08430453593319	254.373305342535	0.0495	0:55
1.2%	370	-28.083743217959363	254.36430387330734	0.0496	0:55
1.2%	371	-28.08318048430745	254.35527970169352	0.0496	0:55
1.2%	372	-28.08261633582583	254.34623283893438	0.0496	0:55
1.2%	373	-28.082050773364625	254.337163300558	0.0495	0:55
1.2%	374	-28.08148379777643	254.3280711017817	0.0495	0:55
1.2%	375	-28.080915409916084	254.31895625773322	0.0495	0:55
1.2%	376	-28.080345610640673	254.30981877607388	0.0495	0:55
1.2%	377	-28.079774400809573	254.30065867562195	0.0495	0:55
1.2%	378	-28.079201781284056	254.29147596642525	0.0495	0:55
1.2%	379	-28.078627752927872	254.28227066873322	0.0495	0:55
1.2%	380	-28.078052316607025	254.2730427891835	0.0495	0:55
1.2%	381	-28.07747547318967	254.263792348841	0.0495	0:55
1.2%	382	-28.07689722354614	254.25451935824418	0.0495	0:55
1.2%	383	-28.076317568549143	254.24522382747244	0.0494	0:55
1.2%	384	-28.075736509072996	254.2359057769676	0.0494	0:55
1.2%	385	-28.075154045995184	254.2265652168812	0.0494	0:55
1.2%	386	-28.074570180195014	254.21720216120553	0.0494	0:55
1.2%	387	-28.073984912553453	254.20781662500102	0.0494	0:55
1.2%	388	-28.07339824395437	254.19840862260145	0.0494	0:55
1.2%	389	-28.0728101752838	254.18897816812247	0.0494	0:55
1.2%	390	-28.072220707429285	254.17952527616	0.0494	0:55
1.2%	391	-28.071629841281624	254.17004996241639	0.0494	0:55
1.2%	392	-28.071037577732792	254.16055223964452	0.0493	0:55
1.2%	393	-28.070443917677935	254.15103212173173	0.0494	0:55
1.2%	394	-28.069848862013234	254.1414896254842	0.0494	0:55
1.2%	395	-28.069252411638303	254.13192476230367	0.0494	0:55
1.2%	396	-28.06865456745393	254.12233754416968	0.0493	0:55
1.2%	397	-28.06805533036406	254.11272799014355	0.0493	0:55
1.2%	398	-28.067454701273707	254.1030961173603	0.0494	0:55
1.2%	399	-28.066852681091326	254.09344193274092	0.0494	0:55
1.2%	400	-28.066249270726555	254.08376545525059	0.0493	0:55
1.3%	401	-28.06564447109156	254.07406669885168	0.0493	0:55
1.3%	402	-28.065038283100698	254.06434567999707	0.0493	0:55
1.3%	403	-28.06443070767073	254.05460240833355	0.0493	0:55
1.3%	404	-28.06382174572027	254.04483690353374	0.0493	0:55
1.3%	405	-28.063211398170207	254.03504918144824	0.0493	0:55
1.3%	406	-28.06259966594382	254.0252392541008	0.0493	0:55
1.3%	407	-28.061986549966136	254.01540713991676	0.0493	0:55
1.3%	408	-28.061372051164714	254.00555284189025	0.0493	0:55
1.3%	409	-28.060756170469332	253.99567638469884	0.0493	0:55
1.3%	410	-28.06013890881161	253.9857777817383	0.0492	0:55
1.3%	411	-28.0595202671254	253.97585705283643	0.0492	0:55
1.3%	412	-28.058900246347275	253.96591420379633	0.0492	0:55
1.3%	413	-28.05827884741511	253.95594925513987	0.0492	0:55
1.3%	414	-28.05765607126971	253.94596222227023	0.0492	0:55
1.3%	415	-28.057031918853554	253.93595311579375	0.0492	0:55
1.3%	416	-28.0564063911115	253.9259219558998	0.0491	0:55
1.3%	417	-28.05577948899038	253.915868760207	0.0491	0:55
1.3%	418	-28.055151213439625	253.9057935359178	0.0491	0:55
1.3%	419	-28.054521565410276	253.89569630609031	0.0491	0:55
1.3%	420	-28.05389054585598	253.88557707494817	0.0491	0:55
1.3%	421	-28.053258155732266	253.87543586562845	0.0491	0:55
1.3%	422	-28.05262439599673	253.86527269829955	0.049	0:55
