#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.0%	1	-28.189449425481605	256.05944161347935	--	--
0.0%	2	-28.189447100673753	256.05940433720554	0.0867	0:31
0.0%	3	-28.189443208420048	256.0593419204384	0.0577	0:47
0.0%	4	-28.18943774868397	256.05925436605025	0.0645	0:42
0.0%	5	-28.18943072143148	256.0591416729305	0.0576	0:47
0.0%	6	-28.18942212663168	256.05900384554917	0.0617	0:44
0.0%	7	-28.189411964255672	256.0588408802822	0.0575	0:48
0.0%	8	-28.189400234276672	256.0586527740834	0.0604	0:45
0.0%	9	-28.189386936671124	256.0584395313329	0.0575	0:48
0.0%	10	-28.18937207141754	256.05820114973756	0.055	0:50
0.0%	11	-28.189355638496792	256.0579376263499	0.0589	0:46
0.0%	12	-28.18933763789288	256.0576489622149	0.057	0:48
0.0%	13	-28.18931806959135	256.0573351591727	0.0587	0:47
0.0%	14	-28.18929693358083	256.05699621739365	0.0571	0:48
0.0%	15	-28.189274229852575	256.0566321347648	0.0558	0:49
0.1%	16	-28.18924995839972	256.056242910742	0.0571	0:48
0.1%	17	-28.189224119218384	256.05582854631257	0.056	0:49
0.1%	18	-28.189196712306906	256.0553890406529	0.0572	0:48
0.1%	19	-28.18916773766639	256.0549243945134	0.0562	0:49
0.1%	20	-28.18913719530004	256.05443460636104	0.0572	0:48
0.1%	21	-28.18910508521377	256.0539196779793	0.0563	0:49
0.1%	22	-28.189071407415884	256.05337960838074	0.0573	0:48
0.1%	23	-28.189036161917368	256.0528144001809	0.0564	0:48
0.1%	24	-28.18899934873153	256.0522240510753	0.0573	0:48
0.1%	25	-28.18896096787405	256.05160856477903	0.0565	0:48
0.1%	26	-28.1889210193632	256.0509679372334	0.0573	0:48
0.1%	27	-28.18887950321991	256.05030217483966	0.0566	0:48
0.1%	28	-28.188836419467602	256.0496112697689	0.0573	0:48
0.1%	29	-28.188791768131413	256.04889522641537	0.0567	0:48
0.1%	30	-28.188745549239936	256.04815404417195	0.0574	0:48
0.1%	31	-28.188697762823935	256.0473877287449	0.0567	0:48
0.1%	32	-28.18864840891636	256.0465962755125	0.0562	0:49
0.1%	33	-28.188597487553118	256.04577968612597	0.0568	0:48
0.1%	34	-28.188544998772223	256.0449379607463	0.0563	0:49
0.1%	35	-28.188490942614067	256.04407110118717	0.0568	0:48
0.1%	36	-28.18843531912223	256.0431791060683	0.0563	0:49
0.1%	37	-28.188378128341878	256.04226197391114	0.0569	0:48
0.1%	38	-28.188319370321352	256.04131971317474	0.0564	0:48
0.1%	39	-28.18825904511103	256.0403523196924	0.0569	0:48
0.1%	40	-28.188197152764026	256.0393597955435	0.0565	0:48
0.1%	41	-28.188133693335924	256.03834213675225	0.056	0:49
0.1%	42	-28.18806866688444	256.03729934944005	0.0565	0:48
0.1%	43	-28.188002073470425	256.0362314365131	0.0561	0:49
0.1%	44	-28.187933913156428	256.0351383925054	0.0557	0:49
0.1%	45	-28.18786418600827	256.0340202255344	0.0562	0:49
0.1%	46	-28.187792892093654	256.0328769340001	0.0558	0:49
